id,weight,zone,airmail_price,SAL_price,surface_price,created_at,last_modified
50,5000,2,7500,5000,3300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
51,5500,2,8000,5600,3700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
52,6000,2,8500,5600,3700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
53,6500,2,9000,6200,4100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
54,7000,2,9500,6200,4100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
55,7500,2,10000,6800,4500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
56,8000,2,10500,6800,4500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
57,8500,2,11000,7400,4900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
58,9000,2,11500,7400,4900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
59,9500,2,12000,8000,5300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
60,10000,2,12500,8000,5300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
61,11000,2,13200,8400,5600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
62,12000,2,13900,8800,5900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
63,13000,2,14600,9200,6200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
64,14000,2,15300,9600,6500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
65,15000,2,16000,10000,6800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
66,16000,2,16700,10400,7100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
67,17000,2,17400,10800,7400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
68,18000,2,18100,11200,7700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
69,19000,2,18800,11600,8000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
70,20000,2,19500,12000,8300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
71,21000,2,20200,12400,8600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
72,22000,2,20900,12800,8900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
73,23000,2,21600,13200,9200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
74,24000,2,22300,13600,9500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
75,25000,2,23000,14000,9800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
76,26000,2,23700,14400,10100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
77,27000,2,24400,14800,10400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
78,28000,2,25100,15200,10700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
79,29000,2,25800,15600,11000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
80,30000,2,26500,16000,11300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
81,500,3,2500,2700,1800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
82,1000,3,3350,2700,1800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
83,1500,3,4200,3850,2350,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
84,2000,3,5050,3850,2350,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
85,2500,3,5900,5000,2900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
86,3000,3,6750,5000,2900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
87,3500,3,7600,6150,3450,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
88,4000,3,8450,6150,3450,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
89,4500,3,9300,7300,4000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
90,5000,3,10150,7300,4000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
91,5500,3,10900,8350,4550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
92,6000,3,11650,8350,4550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
93,6500,3,12400,9400,5100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
94,7000,3,13150,9400,5100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
95,7500,3,13900,10450,5650,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
96,8000,3,14650,10450,5650,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
