id,weight,zone,price,created_at,last_modified
63,9000,2-1,13400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
64,10000,2-1,14500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
65,11000,2-1,15600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
66,12000,2-1,16700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
67,13000,2-1,17800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
68,14000,2-1,18900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
69,15000,2-1,20000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
70,16000,2-1,21100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
71,17000,2-1,22200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
72,18000,2-1,23300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
73,19000,2-1,24400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
74,20000,2-1,25500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
75,21000,2-1,26600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
76,22000,2-1,27700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
77,23000,2-1,28800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
78,24000,2-1,29900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
79,25000,2-1,31000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
80,26000,2-1,32100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
81,27000,2-1,33200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
82,28000,2-1,34300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
83,29000,2-1,35400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
84,30000,2-1,36500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
85,500,2-2,2200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
86,600,2-2,2400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
87,700,2-2,2600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
88,800,2-2,2800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
89,900,2-2,3000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
90,1000,2-2,3200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
91,1250,2-2,3650,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
92,1500,2-2,4100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
93,1750,2-2,4550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
94,2000,2-2,5000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
95,2500,2-2,5800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
96,3000,2-2,6600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
97,3500,2-2,7400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
98,4000,2-2,8200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
99,4500,2-2,9000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
100,5000,2-2,9800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
101,5500,2-2,10600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
102,6000,2-2,11400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
103,7000,2-2,12700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
104,8000,2-2,14000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
105,9000,2-2,15300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
106,10000,2-2,16600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
107,11000,2-2,17900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
108,12000,2-2,19200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
109,13000,2-2,20500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
110,14000,2-2,21800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
111,15000,2-2,23100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
112,16000,2-2,24400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
113,17000,2-2,25700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
114,18000,2-2,27000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
115,19000,2-2,28300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
116,20000,2-2,29600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
